trade_date,transaction_id,team_a,team_a_received,team_a_value_then,team_a_value_now,team_a_value_change,team_b,team_b_received,team_b_value_then,team_b_value_now,team_b_value_change,winner_at_trade,winner_current,margin_at_trade,margin_current,swing_winner,swing_margin
2025-04-28,1222779260813459456,zachlearningtogolf,Ray Davis | Geno Smith | James Cook | 2025 Round 1,8814,7262,-1552,jwalters74,Christian McCaffrey | Baker Mayfield | J.K. Dobbins | 2025 Round 2,8219,12827,4608,zachlearningtogolf,jwalters74,595,5565,jwalters74,6160
2025-03-17,1207589817261490176,jwalters74,Ray Davis | James Cook | Tucker Kraft | 2025 Round 1,8790,8563,-227,lndahayo,Jaxon Smith-Njigba | 2026 Round 1 | 2025 Round 2,6780,11302,4522,jwalters74,lndahayo,2010,2739,lndahayo,4749
2025-05-03,1224449044198203392,gnewman4,Rashee Rice | Will Howard | 2026 Round 2 | 2027 Round 1,8705,10324,1619,zachlearningtogolf,Brian Thomas | Will Levis | 2026 Round 4 | 2027 Round 4,6898,4443,-2455,gnewman4,gnewman4,1807,5881,gnewman4,4074
2025-05-06,1225522406177652736,cjsyregelas,Ladd McConkey | Mason Taylor | Brian Robinson,5953,4517,-1436,jwalters74,Tyler Warren | Josh Jacobs | George Pickens | 2026 Round 3,6012,8450,2438,jwalters74,jwalters74,59,3933,jwalters74,3874
2025-04-30,1223398803554451456,gnewman4,2025 Round 2 | 2026 Round 2 | 2025 Round 3,871,3318,2447,jwalters74,2025 Round 3 | 2025 Round 2,717,1093,376,gnewman4,gnewman4,154,2225,gnewman4,2071
2025-08-07,1259245972907622400,lndahayo,Quinshon Judkins | 2026 Round 3,1595,3668,2073,jwalters74,Tahj Brooks | 2027 Round 2 | 2026 Round 1,1460,1467,7,lndahayo,lndahayo,135,2201,lndahayo,2066
2025-03-29,1211903239012765696,donewton,2025 Round 2,420,2400,1980,gnewman4,2026 Round 2 | 2027 Round 3,381,397,16,donewton,donewton,39,2003,donewton,1964
2025-09-12,1272244641206398976,zachlearningtogolf,Daniel Jones,404,2190,1786,wkerwin,2026 Round 2,323,332,9,zachlearningtogolf,zachlearningtogolf,81,1858,zachlearningtogolf,1777
2025-04-30,1223365523358621696,donewton,2025 Round 2,807,4025,3218,wkerwin,2026 Round 1 | 2025 Round 3,5476,6941,1465,wkerwin,wkerwin,4669,2916,wkerwin,1753
2025-03-14,1206314724464001024,donewton,2025 Round 1,2904,3604,700,gnewman4,2025 Round 2 | 2025 Round 2,1143,3455,2312,donewton,donewton,1761,149,donewton,1612
2025-09-30,1278793259467935744,donewton,Tyreek Hill,2175,608,-1567,jwalters74,2026 Round 4,20,20,0,donewton,donewton,2155,588,donewton,1567
2025-04-21,1220272163022438400,donewton,Davante Adams | 2025 Round 1 | 2025 Round 3,2786,4111,1325,zachlearningtogolf,Justin Fields | Brenton Strange | 2025 Round 2,1375,4193,2818,donewton,zachlearningtogolf,1411,82,zachlearningtogolf,1493
2025-04-30,1223400000990486528,donewton,Jalen McMillan | Jonnu Smith | Khalil Shakir,2490,1180,-1310,zachlearningtogolf,Noah Gray | 2025 Round 2,558,687,129,donewton,donewton,1932,493,donewton,1439
2025-07-31,1256714512900292608,brevinowens,Keon Coleman | 2027 Round 2,835,1034,199,jakeduf,T.J. Hockenson | 2026 Round 3,2113,924,-1189,jakeduf,brevinowens,1278,110,brevinowens,1388
2025-08-20,1264067657422864384,tylerpilgrim,LeQuint Allen | George Pickens | 2026 Round 1,3056,3312,256,jwalters74,Joshua Palmer | Breece Hall,5347,4313,-1034,jwalters74,jwalters74,2291,1001,jwalters74,1290
2025-04-29,1223059650442706944,donewton,2025 Round 1 | 2025 Round 1,9116,6300,-2816,wkerwin,2025 Round 1 | 2025 Round 1,8874,7217,-1657,donewton,wkerwin,242,917,wkerwin,1159
