trade_date,trade_id,trade_status,trade_type,asset_type,asset_name,receiving_team,giving_team,origin_owner,roster_a,roster_b
2025-11-16,1295662941210697728,complete,2-team,player,Saquon Barkley,jwalters74,cjsyregelas,,cjsyregelas,jwalters74
2025-11-16,1295662941210697728,complete,2-team,player,James Cook,cjsyregelas,jwalters74,,cjsyregelas,jwalters74
2025-11-12,1294350847387398144,complete,2-team,player,Jonathon Brooks,thekylecasey,jwalters74,,thekylecasey,jwalters74
2025-11-12,1294350847387398144,complete,2-team,player,Terrance Ferguson,thekylecasey,jwalters74,,thekylecasey,jwalters74
2025-11-12,1294350847387398144,complete,2-team,player,Luther Burden,thekylecasey,jwalters74,,thekylecasey,jwalters74
2025-11-12,1294350847387398144,complete,2-team,player,Aaron Jones,jwalters74,thekylecasey,,thekylecasey,jwalters74
2025-11-12,1294350847387398144,complete,2-team,player,George Pickens,jwalters74,thekylecasey,,thekylecasey,jwalters74
2025-11-12,1294350847387398144,complete,2-team,pick,2027 Round 3,thekylecasey,jwalters74,thekylecasey,thekylecasey,jwalters74
2025-11-12,1294350847387398144,complete,2-team,pick,2027 Round 3,thekylecasey,jwalters74,jwalters74,thekylecasey,jwalters74
2025-11-12,1294198173723557888,complete,2-team,player,DeAndre Hopkins,tylerpilgrim,gnewman4,,gnewman4,tylerpilgrim
2025-11-12,1294198173723557888,complete,2-team,player,Chuba Hubbard,gnewman4,tylerpilgrim,,gnewman4,tylerpilgrim
2025-11-12,1294198173723557888,complete,2-team,pick,2026 Round 3,tylerpilgrim,gnewman4,tylerpilgrim,gnewman4,tylerpilgrim
2025-11-12,1294189559839465472,complete,2-team,player,Bhayshul Tuten,wkerwin,lndahayo,,lndahayo,wkerwin
2025-11-12,1294189559839465472,complete,2-team,player,Juwan Johnson,lndahayo,wkerwin,,lndahayo,wkerwin
2025-11-12,1294189559839465472,complete,2-team,player,DeVonta Smith,lndahayo,wkerwin,,lndahayo,wkerwin
2025-11-12,1294189559839465472,complete,2-team,pick,2026 Round 1,wkerwin,lndahayo,lndahayo,lndahayo,wkerwin
2025-11-12,1294189559839465472,complete,2-team,pick,2026 Round 4,lndahayo,wkerwin,wkerwin,lndahayo,wkerwin
2025-11-12,1294189559839465472,complete,2-team,pick,2027 Round 4,lndahayo,wkerwin,wkerwin,lndahayo,wkerwin
2025-11-11,1294076505202098176,complete,2-team,player,Alvin Kamara,donewton,tylerpilgrim,,tylerpilgrim,donewton
2025-11-11,1294076505202098176,complete,2-team,player,Dontayvion Wicks,tylerpilgrim,donewton,,tylerpilgrim,donewton
2025-11-11,1294076505202098176,complete,2-team,pick,2026 Round 3,tylerpilgrim,donewton,mgaeta23,tylerpilgrim,donewton
2025-11-11,1294061216544587776,complete,2-team,player,Cooper Kupp,gnewman4,mgaeta23,,gnewman4,mgaeta23
2025-11-11,1294061216544587776,complete,2-team,player,Rico Dowdle,gnewman4,mgaeta23,,gnewman4,mgaeta23
2025-11-11,1294061216544587776,complete,2-team,player,Wan'Dale Robinson,mgaeta23,gnewman4,,gnewman4,mgaeta23
2025-11-11,1294061216544587776,complete,2-team,pick,2026 Round 2,mgaeta23,gnewman4,donewton,gnewman4,mgaeta23
2025-11-11,1294061216544587776,complete,2-team,pick,2027 Round 3,mgaeta23,gnewman4,donewton,gnewman4,mgaeta23
2025-11-11,1294061216544587776,complete,2-team,pick,2026 Round 4,gnewman4,mgaeta23,mgaeta23,gnewman4,mgaeta23
2025-11-10,1293486502654791680,complete,2-team,player,Geno Smith,zachlearningtogolf,gnewman4,,gnewman4,zachlearningtogolf
2025-11-10,1293486502654791680,complete,2-team,player,Justin Fields,gnewman4,zachlearningtogolf,,gnewman4,zachlearningtogolf
2025-11-10,1293486502654791680,complete,2-team,pick,2026 Round 2,zachlearningtogolf,gnewman4,gnewman4,gnewman4,zachlearningtogolf
2025-11-10,1293486502654791680,complete,2-team,pick,2026 Round 3,gnewman4,zachlearningtogolf,tylerpilgrim,gnewman4,zachlearningtogolf
2025-11-10,1293486502654791680,complete,2-team,faab,$1 FAAB,zachlearningtogolf,gnewman4,,gnewman4,zachlearningtogolf
2025-11-02,1290567058949427200,complete,2-team,player,Jonathon Brooks,jwalters74,tylerpilgrim,,jwalters74,tylerpilgrim
2025-11-02,1290567058949427200,complete,2-team,player,Alvin Kamara,tylerpilgrim,jwalters74,,jwalters74,tylerpilgrim
2025-11-02,1290567058949427200,complete,2-team,pick,2027 Round 3,jwalters74,tylerpilgrim,thekylecasey,jwalters74,tylerpilgrim
2025-11-01,1290362815730708480,complete,2-team,player,Cedric Tillman,thekylecasey,lndahayo,,lndahayo,thekylecasey
