trade_date,transaction_id,team_a,team_a_received,team_a_value_then,team_a_value_now,team_a_value_change,team_b,team_b_received,team_b_value_then,team_b_value_now,team_b_value_change,winner_at_trade,winner_current,margin_at_trade,margin_current,swing_winner,swing_margin
2025-04-30,1223365523358621696,donewton,2025 Round 2,807,6440,5633,wkerwin,2026 Round 1 | 2025 Round 3,5476,4357,-1119,wkerwin,donewton,4669,2083,donewton,6752
2025-08-21,1264067657422864384,tylerpilgrim,LeQuint Allen | George Pickens | 2026 Round 1,3056,8621,5565,jwalters74,Joshua Palmer | Breece Hall,5347,4215,-1132,jwalters74,tylerpilgrim,2291,4406,tylerpilgrim,6697
2025-10-22,1286819210667765760,tylerpilgrim,Travis Kelce | Justin Jefferson | Jordan Mason | 2027 Round 3,10238,8431,-1807,thekylecasey,Jerry Jeudy | George Pickens | 2026 Round 1 | 2026 Round 2 | 2027 Round 1,10687,15246,4559,thekylecasey,thekylecasey,449,6815,thekylecasey,6366
2025-05-06,1225522406177652736,cjsyregelas,Ladd McConkey | Mason Taylor | Brian Robinson,5953,3770,-2183,jwalters74,Tyler Warren | Josh Jacobs | George Pickens | 2026 Round 3,6009,9202,3193,jwalters74,jwalters74,56,5432,jwalters74,5376
2025-05-03,1224449044198203392,gnewman4,Rashee Rice | Will Howard | 2026 Round 2 | 2027 Round 1,9062,9406,344,zachlearningtogolf,Brian Thomas | Will Levis | 2026 Round 4 | 2027 Round 4,6905,2134,-4771,gnewman4,gnewman4,2157,7272,gnewman4,5115
2025-04-29,1223058419775193088,mgaeta23,Joe Mixon | Deebo Samuel | 2026 Round 1 | 2026 Round 1,6031,8428,2397,zachlearningtogolf,Tony Pollard | Khalil Shakir | 2025 Round 1,5511,3234,-2277,mgaeta23,mgaeta23,520,5194,mgaeta23,4674
2025-03-18,1207589817261490176,jwalters74,Ray Davis | James Cook | Tucker Kraft | 2025 Round 1,8790,9558,768,lndahayo,Jaxon Smith-Njigba | 2026 Round 1 | 2025 Round 2,6780,12059,5279,jwalters74,lndahayo,2010,2501,lndahayo,4511
2025-03-14,1206314724464001024,donewton,2025 Round 1,2904,2027,-877,gnewman4,2025 Round 2 | 2025 Round 2,1143,4498,3355,donewton,gnewman4,1761,2471,gnewman4,4232
2025-11-16,1295662941210697728,jwalters74,Saquon Barkley,4756,2463,-2293,cjsyregelas,James Cook,4756,5092,336,cjsyregelas,cjsyregelas,0,2629,cjsyregelas,2629
2025-04-22,1220272163022438400,donewton,Davante Adams | 2025 Round 1 | 2025 Round 3,2786,6072,3286,zachlearningtogolf,Justin Fields | Brenton Strange | 2025 Round 2,1375,2117,742,donewton,donewton,1411,3955,donewton,2544
