Pick,Round,Pick in Round,Team Name,Owner,Player,Position,NFL Team,College
1,1,1,Moneyball,tylerpilgrim,Ashton Jeanty,RB,LV,Boise State
2,1,2,The Life of Showtime,donewton,Omarion Hampton,RB,LAC,North Carolina
3,1,3,Good Will Hunting,wkerwin,Travis Hunter,WR,JAX,Colorado
4,1,4,Tyler Is Scared,brevinowens,Tetairoa McMillan,WR,CAR,Arizona
5,1,5,Mommy Rainier ,zachlearningtogolf,Cam Ward,QB,TEN,Miami (FL)
6,1,6,Mommy Rainier ,zachlearningtogolf,TreVeyon Henderson,RB,NE,Ohio State
7,1,7,Breece Lightning,jwalters74,Quinshon Judkins,RB,CLE,Ohio State
8,1,8,Good Will Hunting,wkerwin,Emeka Egbuka,WR,TB,Ohio State
9,1,9,Tyler Is Scared,brevinowens,Matthew Golden,WR,GB,Texas
10,1,10,Lisan Al-Caleb,thekylecasey,Colston Loveland,TE,CHI,Michigan
11,1,11,Good Will Hunting,wkerwin,Kaleb Johnson,RB,PIT,Iowa
12,1,12,The Life of Showtime,donewton,RJ Harvey,RB,DEN,UCF
13,2,1,Washed,cjsyregelas,Tyler Warren,TE,IND,Penn State
14,2,2,The Life of Showtime,donewton,Jaxson Dart,QB,NYG,Ole Miss
15,2,3,Breece Lightning,jwalters74,Luther Burden,WR,CHI,Missouri
16,2,4,Tyler Is Scared,brevinowens,Tre' Harris,WR,LAC,Ole Miss
17,2,5,Mommy Rainier ,zachlearningtogolf,Jayden Higgins,WR,HOU,Iowa State
18,2,6,ProtectFromMayhemLikeMe,gnewman4,Cam Skattebo,RB,NYG,Arizona State
19,2,7,Breece Lightning,jwalters74,Jack Bech,WR,LV,TCU
20,2,8,208 Ferrari Way,lndahayo,Bhayshul Tuten,RB,JAX,Virginia Tech
21,2,9,Gaeta Spur FC,mgaeta23,Tyler Shough,QB,NO,Louisville
22,2,10,The Life of Showtime,donewton,Jalen Royals,WR,KC,Utah State
23,2,11,Mommy Rainier ,zachlearningtogolf,Jalen Milroe,QB,SEA,Alabama
24,2,12,208 Ferrari Way,lndahayo,Kyle Williams,WR,NE,Washington State
25,3,1,Breece Lightning,jwalters74,Mason Taylor,TE,NYJ,LSU
26,3,2,Moneyball,tylerpilgrim,Jaylin Noel,WR,HOU,Iowa State
27,3,3,Breece Lightning,jwalters74,Shedeur Sanders,QB,CLE,Colorado
28,3,4,Tyler Is Scared,brevinowens,Isaac TeSlaa,WR,DET,Arkansas
29,3,5,The Life of Showtime,donewton,Elijah Arroyo,TE,SEA,Miami (FL)
30,3,6,Gaeta Spur FC,mgaeta23,Elic Ayomanor,WR,TEN,Stanford
31,3,7,208 Ferrari Way,lndahayo,Dylan Sampson,RB,CLE,Tennessee
32,3,8,The Life of Showtime,donewton,Jaydon Blue,RB,DAL,Texas
33,3,9,Gaeta Spur FC,mgaeta23,Tai Felton,WR,MIN,Maryland
34,3,10,Good Will Hunting,wkerwin,Harold Fannin,TE,CLE,Bowling Green
35,3,11,Rashid Shaheed Truthers,jakeduf,Ollie Gordon,RB,MIA,Oklahoma State
36,3,12,Breece Lightning,jwalters74,Devin Neal,RB,NO,Kansas
37,4,1,ProtectFromMayhemLikeMe,gnewman4,DJ Giddens,RB,IND,Kansas State
38,4,2,Breece Lightning,jwalters74,Terrance Ferguson,TE,LAR,Oregon
39,4,3,Lisan Al-Caleb,thekylecasey,Kyle Monangai,RB,CHI,Rutgers
40,4,4,Tyler Is Scared,brevinowens,Jarquez Hunter,RB,LAR,Auburn
41,4,5,Moneyball,tylerpilgrim,Pat Bryant,WR,DEN,Illinois
42,4,6,208 Ferrari Way,lndahayo,Woody Marks,RB,HOU,USC
43,4,7,208 Ferrari Way,lndahayo,Brashard Smith,RB,KC,SMU
44,4,8,Rashid Shaheed Truthers,jakeduf,Jordan James,RB,SF,Oregon
45,4,9,208 Ferrari Way,lndahayo,Tahj Brooks,RB,CIN,Texas Tech
46,4,10,Mommy Rainier ,zachlearningtogolf,Xavier Restrepo,WR,TEN,Miami (FL)
47,4,11,Mommy Rainier ,zachlearningtogolf,Will Howard,QB,PIT,Ohio State
48,4,12,Good Will Hunting,wkerwin,Tory Horton,WR,SEA,Colorado State
