roster_id,sleeper_username,real_name,nickname,current_team_name,week_7_team_name,historical_team_names,notes
1,lndahayo,Landry,Landry,208 Ferrari Way,208 Ferrari Way,208 Ferrari Way,Commissioner; consistent team name
2,gnewman4,Grant,Grant,Like a Good Naber,ProtectFromMayhemLikeMe,ProtectFromMayhemLikeMe | 12 personnel | Like a Good Naber,Consistent team name
3,brevinowens,Brevin,Brevin,Tyler Is Scared,Tyler's (Scared) Titties,Tyler Is Scared | Tyler's (Scared) Titties,Team name variations
4,thekylecasey,Kyle,Kyle,Spirit Halloween,Spirit Halloween,Lisan Al-Caleb | Spirit Halloween,Recent name change; rebuild started
5,zachlearningtogolf,Zach,Zach,Mommy Rainier ,Mommy Rainier,Mommy Rainier | Mommy Rainier,Consistent team name
6,cjsyregelas,Chris,Chris,Washed,Washed,Washed,Consistent team name
7,jwalters74,Johnny,Johnny,Breece Lightning,Breece Lightning,Breece Lightning,Consistent team name
8,tylerpilgrim,Tyler,Tyler,TRIPS 🔥,TRIPS,Moneyball | TRIPS | Tyler's Awesome Team | TRIPS 🔥,Recent name change from Moneyball to TRIPS
9,mgaeta23,Matt,Gaeta,Gaeta Spur FC,Gaeta Spur FC,Gaeta Spur FC,Consistent team name
10,jakeduf,Jake,Jake,Rashid Shaheed Truthers,Rashid Shaheed Truthers,Rashid Shaheed Truthers,Consistent team name
11,wkerwin,Will,Will,On To 2026,Good Will Hunting,Good Will Hunting | On To 2026,Consistent team name
12,donewton,Don,Don,Paper Tigers,The Life of Showtime,The Life of Showtime | Paper Tigers,Consistent team name
