Team,Week2_2026_1st,Week3_2026_1st,Week4_2026_1st,Week5_2026_1st,Week6_2026_1st,Week7_2026_1st,Week8_2026_1st,Week9_2026_1st,Tier,Week7_2026_2nd,Week7_2026_3rd,Week7_2026_4th,Week9_2026_2nd,Week9_2026_3rd,Week9_2026_4th,Week2_2026_2nd,Week2_2026_3rd,Week2_2026_4th,Week3_2026_2nd,Week3_2026_3rd,Week3_2026_4th,Week4_2026_2nd,Week4_2026_3rd,Week4_2026_4th,Week5_2026_2nd,Week5_2026_3rd,Week5_2026_4th,Week6_2026_2nd,Week6_2026_3rd,Week6_2026_4th,Week8_2026_2nd,Week8_2026_3rd,Week8_2026_4th,Week10_2026_2nd,Week10_2026_3rd,Week10_2026_4th,Week11_2026_2nd,Week11_2026_3rd,Week11_2026_4th
brevinowens,1232,1232,1232,2558,1232,1232,2558,1232,Late,183,42,15,150,35,12,183,42,15,183,42,15,183,42,15,183,42,15,183,42,15,183,42,15,183,42,15,183,42,15
cjsyregelas,1232,1232,2558,2558,1232,1232,1232,1232,Late,183,42,15,150,35,12,183,42,15,183,42,15,183,42,15,183,42,15,183,42,15,183,42,15,183,42,15,183,42,15
donewton,5430,2558,2558,1232,2558,2558,1232,2558,Mid,330,65,20,250,55,18,330,65,20,330,65,20,330,65,20,330,65,20,330,65,20,330,65,20,330,65,20,330,65,20
gnewman4,2558,2558,2558,5430,2558,2558,5430,2558,Mid,330,65,20,400,80,25,330,65,20,330,65,20,330,65,20,330,65,20,330,65,20,330,65,20,330,65,20,330,65,20
jakeduf,2558,2558,2558,2558,2558,2558,2558,2558,Mid,330,65,20,250,55,18,330,65,20,330,65,20,330,65,20,330,65,20,330,65,20,330,65,20,330,65,20,330,65,20
jwalters74,1232,1232,1232,1232,1232,1232,1232,1232,Late,183,42,15,150,35,12,183,42,15,183,42,15,183,42,15,183,42,15,183,42,15,183,42,15,183,42,15,183,42,15
lndahayo,1232,1232,1232,1232,1232,1232,1232,1232,Late,183,42,15,150,35,12,183,42,15,183,42,15,183,42,15,183,42,15,183,42,15,183,42,15,183,42,15,183,42,15
mgaeta23,5430,5430,5430,2558,2558,2558,1232,2558,Mid,330,65,20,250,55,18,330,65,20,330,65,20,330,65,20,330,65,20,330,65,20,330,65,20,330,65,20,330,65,20
thekylecasey,5430,5430,5430,5430,5430,5430,5430,5430,Early,622,106,29,550,110,35,622,106,29,622,106,29,622,106,29,622,106,29,622,106,29,622,106,29,622,106,29,622,106,29
tylerpilgrim,2558,2558,1232,1232,5430,5430,1232,5430,Early,622,106,29,550,110,35,622,106,29,622,106,29,622,106,29,622,106,29,622,106,29,622,106,29,622,106,29,622,106,29
wkerwin,5430,5430,5430,5430,5430,5430,2558,5430,Early,622,106,29,550,110,35,622,106,29,622,106,29,622,106,29,622,106,29,622,106,29,622,106,29,622,106,29,622,106,29
zachlearningtogolf,2558,5430,5430,5430,5430,5430,5430,5430,Early,622,106,29,550,110,35,622,106,29,622,106,29,622,106,29,622,106,29,622,106,29,622,106,29,622,106,29,622,106,29
