year,round,tier,date,value
2024,1,Early,2024-08-16,6552
2024,1,Late,2024-08-16,1498
2024,1,Mid,2024-08-16,3119
2024,2,Early,2024-08-16,751
2024,2,Late,2024-08-16,213
2024,2,Mid,2024-08-16,392
2024,3,Early,2024-08-16,121
2024,3,Late,2024-08-16,44
2024,3,Mid,2024-08-16,71
2024,4,Early,2024-08-16,28
2024,4,Late,2024-08-16,14
2024,4,Mid,2024-08-16,20
2024,5,Early,2024-08-16,12
2024,5,Late,2024-08-16,7
2024,5,Mid,2024-08-16,9
2025,1,Early,2024-08-16,5151
2025,1,Late,2024-08-16,1175
2025,1,Mid,2024-08-16,2441
2025,2,Early,2024-08-16,590
2025,2,Late,2024-08-16,168
2025,2,Mid,2024-08-16,308
2025,3,Early,2024-08-16,95
2025,3,Late,2024-08-16,35
2025,3,Mid,2024-08-16,56
2025,4,Early,2024-08-16,23
2025,4,Late,2024-08-16,12
2025,4,Mid,2024-08-16,16
2024,1,Early,2024-08-23,6933
2024,1,Late,2024-08-23,1501
2024,1,Mid,2024-08-23,3219
2024,2,Early,2024-08-23,735
2024,2,Late,2024-08-23,202
2024,2,Mid,2024-08-23,376
2024,3,Early,2024-08-23,113
2024,3,Late,2024-08-23,40
2024,3,Mid,2024-08-23,66
2024,4,Early,2024-08-23,26
2024,4,Late,2024-08-23,14
2024,4,Mid,2024-08-23,18
2024,5,Early,2024-08-23,10
2024,5,Late,2024-08-23,6
2024,5,Mid,2024-08-23,8
2025,1,Early,2024-08-23,5450
2025,1,Late,2024-08-23,1176
2025,1,Mid,2024-08-23,2514
2025,2,Early,2024-08-23,577
2025,2,Late,2024-08-23,159
2025,2,Mid,2024-08-23,296
2025,3,Early,2024-08-23,90
2025,3,Late,2024-08-23,32
2025,3,Mid,2024-08-23,52
2025,4,Early,2024-08-23,21
2025,4,Late,2024-08-23,11
2025,4,Mid,2024-08-23,14
2024,1,Early,2024-08-30,6360
2024,1,Late,2024-08-30,1496
2024,1,Mid,2024-08-30,3062
2024,2,Early,2024-08-30,762
2024,2,Late,2024-08-30,224
2024,2,Mid,2024-08-30,405
2024,3,Early,2024-08-30,129
2024,3,Late,2024-08-30,48
2024,3,Mid,2024-08-30,77
2024,4,Early,2024-08-30,32
2024,4,Late,2024-08-30,17
2024,4,Mid,2024-08-30,22
2024,5,Early,2024-08-30,13
2024,5,Late,2024-08-30,8
2024,5,Mid,2024-08-30,10
2025,1,Early,2024-08-30,4999
2025,1,Late,2024-08-30,1174
2025,1,Mid,2024-08-30,2399
2025,2,Early,2024-08-30,600
2025,2,Late,2024-08-30,177
2025,2,Mid,2024-08-30,319
2025,3,Early,2024-08-30,102
2025,3,Late,2024-08-30,38
2025,3,Mid,2024-08-30,61
2025,4,Early,2024-08-30,26
2025,4,Late,2024-08-30,14
2025,4,Mid,2024-08-30,18
2024,1,Early,2024-09-06,6502
2024,1,Late,2024-09-06,1517
2024,1,Mid,2024-09-06,3124
2024,2,Early,2024-09-06,768
2024,2,Late,2024-09-06,223
2024,2,Mid,2024-09-06,406
2024,3,Early,2024-09-06,128
2024,3,Late,2024-09-06,47
2024,3,Mid,2024-09-06,76
2024,4,Early,2024-09-06,31
2024,4,Late,2024-09-06,16
2024,4,Mid,2024-09-06,22
2024,5,Early,2024-09-06,12
2024,5,Late,2024-09-06,8
2024,5,Mid,2024-09-06,10
2025,1,Early,2024-09-06,5432
2025,1,Late,2024-09-06,1265
2025,1,Mid,2024-09-06,2599
2025,2,Early,2024-09-06,642
2025,2,Late,2024-09-06,187
2025,2,Mid,2024-09-06,340
2025,3,Early,2024-09-06,107
2025,3,Late,2024-09-06,40
2025,3,Mid,2024-09-06,64
2025,4,Early,2024-09-06,26
2025,4,Late,2024-09-06,14
2025,4,Mid,2024-09-06,18
2024,1,Early,2024-09-13,6590
2024,1,Late,2024-09-13,1488
2024,1,Mid,2024-09-13,3117
2024,2,Early,2024-09-13,743
2024,2,Late,2024-09-13,212
2024,2,Mid,2024-09-13,388
2024,3,Early,2024-09-13,121
2024,3,Late,2024-09-13,45
2024,3,Mid,2024-09-13,72
2024,4,Early,2024-09-13,30
2024,4,Late,2024-09-13,16
2024,4,Mid,2024-09-13,20
2024,5,Early,2024-09-13,12
2024,5,Late,2024-09-13,7
2024,5,Mid,2024-09-13,9
2025,1,Early,2024-09-13,5504
2025,1,Late,2024-09-13,1240
2025,1,Mid,2024-09-13,2590
2025,2,Early,2024-09-13,621
2025,2,Late,2024-09-13,178
2025,2,Mid,2024-09-13,325
2025,3,Early,2024-09-13,101
2025,3,Late,2024-09-13,38
2025,3,Mid,2024-09-13,60
2025,4,Early,2024-09-13,25
2025,4,Late,2024-09-13,13
2025,4,Mid,2024-09-13,17
2024,1,Early,2024-09-20,6740
2024,1,Late,2024-09-20,1495
2024,1,Mid,2024-09-20,3164
2024,2,Early,2024-09-20,740
2024,2,Late,2024-09-20,207
2024,2,Mid,2024-09-20,382
2024,3,Early,2024-09-20,117
2024,3,Late,2024-09-20,42
2024,3,Mid,2024-09-20,68
2024,4,Early,2024-09-20,28
2024,4,Late,2024-09-20,14
2024,4,Mid,2024-09-20,19
2024,5,Early,2024-09-20,11
2024,5,Late,2024-09-20,7
2024,5,Mid,2024-09-20,8
2025,1,Early,2024-09-20,5630
2025,1,Late,2024-09-20,1245
2025,1,Mid,2024-09-20,2628
2025,2,Early,2024-09-20,618
2025,2,Late,2024-09-20,174
2025,2,Mid,2024-09-20,320
2025,3,Early,2024-09-20,98
2025,3,Late,2024-09-20,36
2025,3,Mid,2024-09-20,58
2025,4,Early,2024-09-20,23
2025,4,Late,2024-09-20,12
2025,4,Mid,2024-09-20,16
2024,1,Early,2024-09-27,6365
2024,1,Late,2024-09-27,1494
2024,1,Mid,2024-09-27,3060
2024,2,Early,2024-09-27,762
2024,2,Late,2024-09-27,225
2024,2,Mid,2024-09-27,406
2024,3,Early,2024-09-27,130
2024,3,Late,2024-09-27,50
2024,3,Mid,2024-09-27,78
2024,4,Early,2024-09-27,33
2024,4,Late,2024-09-27,17
2024,4,Mid,2024-09-27,23
2024,5,Early,2024-09-27,13
2024,5,Late,2024-09-27,8
2024,5,Mid,2024-09-27,10
2025,1,Early,2024-09-27,5315
2025,1,Late,2024-09-27,1247
2025,1,Mid,2024-09-27,2547
2025,2,Early,2024-09-27,637
2025,2,Late,2024-09-27,189
2025,2,Mid,2024-09-27,340
2025,3,Early,2024-09-27,109
2025,3,Late,2024-09-27,42
2025,3,Mid,2024-09-27,66
2025,4,Early,2024-09-27,28
2025,4,Late,2024-09-27,14
2025,4,Mid,2024-09-27,20
2024,1,Early,2024-10-04,6394
2024,1,Late,2024-10-04,1472
2024,1,Mid,2024-10-04,3044
2024,2,Early,2024-10-04,744
2024,2,Late,2024-10-04,216
2024,2,Mid,2024-10-04,393
2024,3,Early,2024-10-04,125
2024,3,Late,2024-10-04,47
2024,3,Mid,2024-10-04,75
2024,4,Early,2024-10-04,32
2024,4,Late,2024-10-04,16
2024,4,Mid,2024-10-04,22
2024,5,Early,2024-10-04,12
2024,5,Late,2024-10-04,8
2024,5,Mid,2024-10-04,10
2025,1,Early,2024-10-04,5337
2025,1,Late,2024-10-04,1227
2025,1,Mid,2024-10-04,2532
2025,2,Early,2024-10-04,622
2025,2,Late,2024-10-04,182
2025,2,Mid,2024-10-04,329
2025,3,Early,2024-10-04,105
2025,3,Late,2024-10-04,40
2025,3,Mid,2024-10-04,63
2025,4,Early,2024-10-04,26
2025,4,Late,2024-10-04,14
2025,4,Mid,2024-10-04,18
2024,1,Early,2024-10-11,6516
2024,1,Late,2024-10-11,1486
2024,1,Mid,2024-10-11,3093
2024,2,Early,2024-10-11,746
2024,2,Late,2024-10-11,214
2024,2,Mid,2024-10-11,392
2024,3,Early,2024-10-11,122
2024,3,Late,2024-10-11,45
2024,3,Mid,2024-10-11,72
2024,4,Early,2024-10-11,30
2024,4,Late,2024-10-11,16
2024,4,Mid,2024-10-11,21
2024,5,Early,2024-10-11,12
2024,5,Late,2024-10-11,8
2024,5,Mid,2024-10-11,10
2025,1,Early,2024-10-11,5442
2025,1,Late,2024-10-11,1238
2025,1,Mid,2024-10-11,2572
2025,2,Early,2024-10-11,624
2025,2,Late,2024-10-11,180
2025,2,Mid,2024-10-11,328
2025,3,Early,2024-10-11,103
2025,3,Late,2024-10-11,38
2025,3,Mid,2024-10-11,61
2025,4,Early,2024-10-11,25
2025,4,Late,2024-10-11,13
2025,4,Mid,2024-10-11,18
2024,1,Early,2024-10-18,6285
2024,1,Late,2024-10-18,1479
2024,1,Mid,2024-10-18,3022
2024,2,Early,2024-10-18,757
2024,2,Late,2024-10-18,225
2024,2,Mid,2024-10-18,404
2024,3,Early,2024-10-18,131
