sleeper_id,date,value_2qb
10210,2024-08-16,2
10212,2024-08-16,2
10213,2024-08-16,18
10214,2024-08-16,8
10215,2024-08-16,3
10216,2024-08-16,5
10217,2024-08-16,3
10218,2024-08-16,11
10219,2024-08-16,21
10220,2024-08-16,5
10221,2024-08-16,2
10222,2024-08-16,1625
10223,2024-08-16,16
10225,2024-08-16,69
10226,2024-08-16,49
10227,2024-08-16,2
10228,2024-08-16,10
10229,2024-08-16,2027
10231,2024-08-16,4
10232,2024-08-16,157
10233,2024-08-16,2
10234,2024-08-16,2
10235,2024-08-16,218
10236,2024-08-16,3008
1034,2024-08-16,1
10444,2024-08-16,43
1049,2024-08-16,7
1067,2024-08-16,2
10857,2024-08-16,3
10859,2024-08-16,5438
10860,2024-08-16,2
10862,2024-08-16,3
10863,2024-08-16,36
10866,2024-08-16,143
10867,2024-08-16,8
10870,2024-08-16,11
10871,2024-08-16,13
10983,2024-08-16,2
11199,2024-08-16,12
11210,2024-08-16,3
11256,2024-08-16,3
11292,2024-08-16,3
11306,2024-08-16,5
11311,2024-08-16,2
11370,2024-08-16,2
11371,2024-08-16,1
11435,2024-08-16,3
11439,2024-08-16,132
11556,2024-08-16,2
11557,2024-08-16,6
11559,2024-08-16,675
11560,2024-08-16,7108
11561,2024-08-16,17
11562,2024-08-16,45
11563,2024-08-16,1077
11564,2024-08-16,2744
11565,2024-08-16,2744
11566,2024-08-16,5593
11567,2024-08-16,3
11568,2024-08-16,10
11570,2024-08-16,22
11571,2024-08-16,22
11573,2024-08-16,6
11574,2024-08-16,45
11575,2024-08-16,260
11576,2024-08-16,98
11577,2024-08-16,72
11578,2024-08-16,3
11579,2024-08-16,103
11580,2024-08-16,18
11581,2024-08-16,495
11583,2024-08-16,2687
11584,2024-08-16,119
11586,2024-08-16,714
11588,2024-08-16,7
11589,2024-08-16,1867
11590,2024-08-16,8
11592,2024-08-16,37
11593,2024-08-16,3
11595,2024-08-16,12
11596,2024-08-16,382
11597,2024-08-16,60
11598,2024-08-16,3
11599,2024-08-16,22
11600,2024-08-16,158
11603,2024-08-16,13
11604,2024-08-16,2897
11605,2024-08-16,15
11606,2024-08-16,3
11608,2024-08-16,2
11610,2024-08-16,34
11615,2024-08-16,18
11616,2024-08-16,31
11617,2024-08-16,147
11618,2024-08-16,98
11619,2024-08-16,303
11620,2024-08-16,4170
11621,2024-08-16,24
11623,2024-08-16,8
11624,2024-08-16,1858
11625,2024-08-16,525
11626,2024-08-16,597
11627,2024-08-16,317
11628,2024-08-16,7486
11629,2024-08-16,60
11630,2024-08-16,326
11631,2024-08-16,1408
11632,2024-08-16,5659
11633,2024-08-16,16
11635,2024-08-16,1565
11636,2024-08-16,19
11637,2024-08-16,958
11638,2024-08-16,692
11640,2024-08-16,276
11643,2024-08-16,351
11644,2024-08-16,6
11645,2024-08-16,169
11646,2024-08-16,8
11647,2024-08-16,158
11649,2024-08-16,7
11650,2024-08-16,88
11651,2024-08-16,50
11652,2024-08-16,4
11655,2024-08-16,90
1166,2024-08-16,1321
11716,2024-08-16,10
11748,2024-08-16,14
11762,2024-08-16,3
11773,2024-08-16,5
11783,2024-08-16,6
11802,2024-08-16,3
11806,2024-08-16,9
11808,2024-08-16,4
11815,2024-08-16,3
11820,2024-08-16,2
11821,2024-08-16,3
11857,2024-08-16,4
11943,2024-08-16,3
11946,2024-08-16,2
11998,2024-08-16,2
12013,2024-08-16,2
12048,2024-08-16,3
1234,2024-08-16,341
1339,2024-08-16,13
1352,2024-08-16,7
1373,2024-08-16,586
1426,2024-08-16,484
1466,2024-08-16,1569
1476,2024-08-16,6
1479,2024-08-16,672
1535,2024-08-16,5
1689,2024-08-16,77
1737,2024-08-16,2
1825,2024-08-16,1
1837,2024-08-16,13
19,2024-08-16,5
1992,2024-08-16,8
2028,2024-08-16,398
2078,2024-08-16,36
2133,2024-08-16,1785
2161,2024-08-16,14
2197,2024-08-16,119
2216,2024-08-16,1547
2251,2024-08-16,12
2306,2024-08-16,5
2307,2024-08-16,4
2309,2024-08-16,1158
2320,2024-08-16,2
2325,2024-08-16,4
2334,2024-08-16,1
2359,2024-08-16,3
2374,2024-08-16,232
2410,2024-08-16,2
2449,2024-08-16,1331
2460,2024-08-16,2
2549,2024-08-16,2
2711,2024-08-16,3
2749,2024-08-16,299
2750,2024-08-16,1
3161,2024-08-16,3
3163,2024-08-16,3022
3164,2024-08-16,108
3198,2024-08-16,1476
3199,2024-08-16,24
3200,2024-08-16,2
3202,2024-08-16,3
3214,2024-08-16,83
3225,2024-08-16,57
3242,2024-08-16,2
3257,2024-08-16,67
3269,2024-08-16,2
3271,2024-08-16,28
3286,2024-08-16,17
3294,2024-08-16,4613
3321,2024-08-16,5080
3423,2024-08-16,1
3634,2024-08-16,7
3969,2024-08-16,9
3976,2024-08-16,3
4017,2024-08-16,1952
4018,2024-08-16,1687
4029,2024-08-16,14
4033,2024-08-16,951
4034,2024-08-16,6350
4035,2024-08-16,1095
4037,2024-08-16,942
4039,2024-08-16,1153
4040,2024-08-16,21
4046,2024-08-16,10018
4054,2024-08-16,2
4066,2024-08-16,987
4068,2024-08-16,164
4080,2024-08-16,53
4082,2024-08-16,149
4089,2024-08-16,29
4098,2024-08-16,22
4111,2024-08-16,35
4137,2024-08-16,541
4144,2024-08-16,49
4147,2024-08-16,25
4149,2024-08-16,27
4152,2024-08-16,2
4171,2024-08-16,21
4177,2024-08-16,3
4179,2024-08-16,9
4189,2024-08-16,1
4197,2024-08-16,3
4198,2024-08-16,2
4199,2024-08-16,662
421,2024-08-16,1025
4217,2024-08-16,1214
4234,2024-08-16,30
4314,2024-08-16,4
4319,2024-08-16,1
4351,2024-08-16,5
4381,2024-08-16,46
4443,2024-08-16,3
4454,2024-08-16,35
4455,2024-08-16,5
4464,2024-08-16,2
4574,2024-08-16,3
4602,2024-08-16,2
4622,2024-08-16,1
4663,2024-08-16,341
4718,2024-08-16,2
4866,2024-08-16,4239
4881,2024-08-16,8991
4892,2024-08-16,1240
4943,2024-08-16,110
4950,2024-08-16,1258
4951,2024-08-16,34
4972,2024-08-16,6
4973,2024-08-16,14
4981,2024-08-16,752
4983,2024-08-16,3840
4984,2024-08-16,10184
4985,2024-08-16,14
4988,2024-08-16,457
4992,2024-08-16,1
4993,2024-08-16,27
4995,2024-08-16,2
5000,2024-08-16,4
5001,2024-08-16,349
5008,2024-08-16,6
5010,2024-08-16,7
5012,2024-08-16,2649
5022,2024-08-16,594
5026,2024-08-16,1
5032,2024-08-16,2
5038,2024-08-16,26
5045,2024-08-16,535
5046,2024-08-16,4
5086,2024-08-16,8
5089,2024-08-16,3
5096,2024-08-16,3
5110,2024-08-16,2
5113,2024-08-16,6
5121,2024-08-16,3
5122,2024-08-16,3
5127,2024-08-16,2
5133,2024-08-16,28
5137,2024-08-16,2
5154,2024-08-16,2
5185,2024-08-16,12
5199,2024-08-16,2
5209,2024-08-16,2
5248,2024-08-16,166
5284,2024-08-16,17
5285,2024-08-16,1
5323,2024-08-16,1
5347,2024-08-16,4
536,2024-08-16,1
5374,2024-08-16,7
5409,2024-08-16,6
5695,2024-08-16,7
5844,2024-08-16,1591
5846,2024-08-16,3734
5848,2024-08-16,654
5849,2024-08-16,6395
5850,2024-08-16,2242
5854,2024-08-16,7
5857,2024-08-16,148
5859,2024-08-16,6087
5870,2024-08-16,449
5872,2024-08-16,2036
5878,2024-08-16,1
5880,2024-08-16,7
5892,2024-08-16,1425
5906,2024-08-16,40
5915,2024-08-16,1
5916,2024-08-16,2
5917,2024-08-16,3
5927,2024-08-16,1186
5937,2024-08-16,1001
5947,2024-08-16,331
5955,2024-08-16,8
5965,2024-08-16,1
5967,2024-08-16,1164
5970,2024-08-16,28
5973,2024-08-16,5
5980,2024-08-16,2
5985,2024-08-16,7
5987,2024-08-16,52
5995,2024-08-16,17
6001,2024-08-16,2
6011,2024-08-16,208
6012,2024-08-16,2
6039,2024-08-16,6
6063,2024-08-16,1
6074,2024-08-16,8
6111,2024-08-16,35
6126,2024-08-16,12
6130,2024-08-16,437
6136,2024-08-16,4
6144,2024-08-16,4
6149,2024-08-16,28
6151,2024-08-16,48
6185,2024-08-16,2
6234,2024-08-16,2
6271,2024-08-16,2
6290,2024-08-16,2
6421,2024-08-16,2
6427,2024-08-16,1
6598,2024-08-16,7
6659,2024-08-16,5
6694,2024-08-16,14
6768,2024-08-16,3655
6770,2024-08-16,8282
6783,2024-08-16,333
6786,2024-08-16,8928
6790,2024-08-16,1740
6794,2024-08-16,9205
6797,2024-08-16,6532
6798,2024-08-16,2
6801,2024-08-16,2777
6803,2024-08-16,4422
6804,2024-08-16,6516
6805,2024-08-16,2
6806,2024-08-16,92
6813,2024-08-16,5237
6814,2024-08-16,3
6819,2024-08-16,3895
6820,2024-08-16,27
6824,2024-08-16,16
6826,2024-08-16,409
6828,2024-08-16,53
6843,2024-08-16,3
6845,2024-08-16,332
6847,2024-08-16,2
6849,2024-08-16,1
6850,2024-08-16,4
6853,2024-08-16,6
6865,2024-08-16,18
6869,2024-08-16,9
6878,2024-08-16,2
6885,2024-08-16,2
6886,2024-08-16,11
6904,2024-08-16,8991
6908,2024-08-16,2
6909,2024-08-16,1
6918,2024-08-16,3
6920,2024-08-16,9
6927,2024-08-16,3
6931,2024-08-16,4
6938,2024-08-16,16
6943,2024-08-16,200
6945,2024-08-16,150
6951,2024-08-16,2
6955,2024-08-16,4
6960,2024-08-16,1
6963,2024-08-16,2
6973,2024-08-16,1
6984,2024-08-16,2
6989,2024-08-16,1
6996,2024-08-16,3
7002,2024-08-16,80
7021,2024-08-16,95
7045,2024-08-16,11
7049,2024-08-16,10
7064,2024-08-16,2
7066,2024-08-16,32
7075,2024-08-16,1
7083,2024-08-16,10
7090,2024-08-16,92
7496,2024-08-16,3
7523,2024-08-16,5412
7525,2024-08-16,4209
7526,2024-08-16,4745
7527,2024-08-16,47
7528,2024-08-16,1103
7529,2024-08-16,1
7534,2024-08-16,1
7535,2024-08-16,2
7537,2024-08-16,4
7538,2024-08-16,14
7540,2024-08-16,1
7541,2024-08-16,1
7543,2024-08-16,4381
7547,2024-08-16,8070
7551,2024-08-16,4
7553,2024-08-16,2417
7554,2024-08-16,2
7559,2024-08-16,1
7561,2024-08-16,78
7562,2024-08-16,33
7563,2024-08-16,2
7564,2024-08-16,8845
7565,2024-08-16,7
7567,2024-08-16,35
7568,2024-08-16,10
7569,2024-08-16,3868
7571,2024-08-16,113
7583,2024-08-16,2
7585,2024-08-16,3
7587,2024-08-16,3
7588,2024-08-16,1025
7591,2024-08-16,638
7593,2024-08-16,12
7594,2024-08-16,178
7595,2024-08-16,1
7596,2024-08-16,108
7597,2024-08-16,2
7600,2024-08-16,496
