player,dp_value,dp_rank,ktc_value,ktc_rank,fc_value,fc_rank,spread,fc_vs_consensus
Josh Allen,10232.0,1,9999.0,2,10456.0,1,1,0.5
Ja'Marr Chase,9076.0,2,9992.0,4,10020.0,4,2,-1.0
Bijan Robinson,8089.0,7,9993.0,3,10173.0,3,4,2.0
Jaxon Smith-Njigba,8579.0,4,9306.0,5,8838.0,5,1,-0.5
Jahmyr Gibbs,7363.0,16,9999.0,1,10186.0,2,15,6.5
Puka Nacua,7646.0,12,8951.0,7,8318.0,7,5,2.5
Lamar Jackson,8949.0,3,7561.0,13,7255.0,10,10,-2.0
Caleb Williams,8013.0,9,7889.0,9,7226.0,11,2,-2.0
Amon-Ra St. Brown,7682.0,11,7857.0,10,7461.0,9,2,1.5
Drake Maye,6425.0,18,9079.0,6,8620.0,6,12,6.0
Joe Burrow,8166.0,6,7391.0,16,6939.0,15,10,-4.0
Jayden Daniels,7592.0,13,7573.0,12,7073.0,13,1,-0.5
Justin Jefferson,8032.0,8,7484.0,14,6897.0,16,8,-5.0
Ashton Jeanty,6609.0,17,7598.0,11,7140.0,12,6,2.0
CeeDee Lamb,7521.0,14,7162.0,19,6537.0,18,5,-1.5
Brock Bowers,4602.0,35,8290.0,8,7485.0,8,27,13.5
Malik Nabers,6217.0,19,7394.0,15,6484.0,19,4,-2.0
Jeremiyah Love,5946.0,22,7375.0,17,6960.0,14,8,5.5
Justin Herbert,7503.0,15,6980.0,22,5988.0,20,7,-1.5
Patrick Mahomes II,8439.0,5,6254.0,29,5381.0,24,24,-7.0
Drake London,5726.0,24,6987.0,21,5909.0,21,3,1.5
Jalen Hurts,7736.0,10,6084.0,33,5297.0,26,23,-4.5
Omarion Hampton,5438.0,27,7034.0,20,5892.0,22,7,1.5
Trey McBride,4209.0,41,7338.0,18,6599.0,17,24,12.5
Jaxson Dart,5960.0,21,6261.0,28,5289.0,28,7,-3.5
De'Von Achane,4689.0,32,6856.0,23,5771.0,23,9,4.5
Trevor Lawrence,6188.0,20,6238.0,30,4977.0,31,11,-6.0
Tetairoa McMillan,5176.0,28,6328.0,24,5048.0,29,5,-3.0
Jonathan Taylor,4538.0,37,6294.0,26,5290.0,27,11,4.5
James Cook III,4927.0,29,6185.0,31,4980.0,30,2,0.0
Bo Nix,5849.0,23,5953.0,35,4689.0,34,12,-5.0
Emeka Egbuka,4668.0,33,6323.0,25,4577.0,35,10,-6.0
George Pickens,4613.0,34,6154.0,32,4783.0,33,2,0.0
Brock Purdy,5659.0,26,5608.0,37,4369.0,38,12,-6.5
Colston Loveland,3312.0,54,6292.0,27,5368.0,25,29,15.5
Jordan Love,5659.0,25,5429.0,46,4186.0,41,21,-5.5
Carnell Tate,4131.0,42,5980.0,34,4453.0,37,8,1.0
Kenneth Walker III,4102.0,43,5591.0,39,4456.0,36,7,5.0
Nico Collins,4506.0,38,5582.0,41,4251.0,40,3,-0.5
Garrett Wilson,4790.0,31,5545.0,43,4010.0,46,15,-9.0
Chris Olave,4485.0,39,5603.0,38,4136.0,43,5,-4.5
Tyler Warren,2687.0,64,5928.0,36,4955.0,32,32,18.0
Dak Prescott,4858.0,30,4984.0,59,4049.0,45,29,-0.5
Ladd McConkey,3699.0,47,5588.0,40,3928.0,47,7,-3.5
Christian McCaffrey,3391.0,51,5366.0,49,4349.0,39,12,11.0
Breece Hall,4602.0,36,5249.0,52,3743.0,52,16,-8.0
Chase Brown,3175.0,56,5467.0,45,4137.0,42,14,8.5
A.J. Brown,4239.0,40,5073.0,57,3832.0,49,17,-0.5
Luther Burden III,3596.0,48,5559.0,42,3638.0,56,14,-11.0
DeVonta Smith,3787.0,45,5505.0,44,3618.0,57,13,-12.5
Fernando Mendoza,2952.0,59,5394.0,48,4099.0,44,15,9.5
Zay Flowers,3554.0,49,5366.0,50,3660.0,54,5,-4.5
Jordyn Tyson,3320.0,53,5350.0,51,3787.0,51,2,1.0
Cam Ward,2457.0,65,5143.0,55,3918.0,48,17,12.0
Quinshon Judkins,2263.0,69,5411.0,47,3742.0,53,22,5.0
Rome Odunze,3243.0,55,5225.0,53,3389.0,62,9,-8.0
Saquon Barkley,2317.0,68,5111.0,56,3818.0,50,18,12.0
Rashee Rice,2783.0,62,4988.0,58,3650.0,55,7,5.0
C.J. Stroud,4044.0,44,4674.0,73,3430.0,60,29,-1.5
TreVeyon Henderson,2423.0,66,5220.0,54,3539.0,58,12,2.0
Jaylen Waddle,3512.0,50,4900.0,63,3275.0,68,18,-11.5
Marvin Harrison Jr.,3778.0,46,4832.0,67,3180.0,71,25,-14.5
Jared Goff,3335.0,52,4653.0,74,3496.0,59,22,4.0
Tee Higgins,2796.0,61,4958.0,61,3307.0,66,5,-5.0
Makai Lemon,2897.0,60,4983.0,60,3136.0,73,13,-13.0
Tucker Kraft,2216.0,70,4899.0,64,3381.0,64,6,3.0
Baker Mayfield,2693.0,63,4647.0,75,3401.0,61,14,8.0
Tyler Shough,2195.0,71,4769.0,69,3387.0,63,8,7.0
Kyren Williams,1994.0,74,4877.0,65,3289.0,67,9,2.5
Sam LaPorta,3008.0,58,4564.0,77,3167.0,72,19,-4.5
Cam Skattebo,1679.0,78,4845.0,66,3342.0,65,13,7.0
Jadarian Price,1625.0,79,4922.0,62,3229.0,69,17,1.5
Harold Fannin Jr.,2119.0,73,4748.0,70,3210.0,70,3,1.5
Brian Thomas Jr.,1889.0,75,4813.0,68,3080.0,75,7,-3.5
Jameson Williams,2154.0,72,4681.0,72,2739.0,82,10,-10.0
Bucky Irving,1558.0,82,4701.0,71,3104.0,74,11,2.5
Kyler Murray,3029.0,57,3826.0,92,2764.0,80,35,-5.5
Javonte Williams,1602.0,80,4620.0,76,3060.0,76,4,2.0
Kyle Pitts Sr.,1711.0,77,4561.0,78,2936.0,78,1,-0.5
Travis Etienne Jr.,2361.0,67,4260.0,82,2604.0,85,18,-10.5
Sam Darnold,1572.0,81,4346.0,80,2744.0,81,1,-0.5
Derrick Henry,1172.0,92,4159.0,83,3032.0,77,15,10.5
KC Concepcion,1550.0,84,4263.0,81,2505.0,89,8,-6.5
Christian Watson,1719.0,76,3908.0,87,2279.0,94,18,-12.5
Matthew Stafford,1223.0,90,3860.0,91,2839.0,79,12,11.5
Bhayshul Tuten,1132.0,93,4429.0,79,2510.0,88,14,-2.0
Kenyon Sadiq,1391.0,88,3894.0,88,2589.0,86,2,2.0
Josh Jacobs,1020.0,99,4114.0,84,2734.0,83,16,8.5
Bryce Young,1121.0,94,3889.0,89,2610.0,84,10,7.5
Parker Washington,1116.0,95,4008.0,85,2564.0,87,10,3.0
Daniel Jones,1113.0,96,3923.0,86,2410.0,90,10,1.0
Malik Willis,1391.0,89,3698.0,96,2344.0,92,7,0.5
DJ Moore,1398.0,87,3588.0,100,2401.0,91,13,2.5
Jordan Addison,1180.0,91,3880.0,90,2095.0,102,12,-11.5
Alec Pierce,1418.0,85,3818.0,93,2003.0,110,25,-21.0
Terry McLaurin,1401.0,86,3507.0,102,2109.0,101,16,-7.0
D'Andre Swift,942.0,103,3750.0,95,2287.0,93,10,6.0
Michael Wilson,955.0,101,3765.0,94,2114.0,100,7,-2.5
Denzel Boston,795.0,111,3593.0,99,2215.0,95,16,10.0
Josh Downs,824.0,109,3640.0,98,2035.0,106,11,-2.5
Matthew Golden,636.0,121,3651.0,97,2163.0,96,25,13.0
Ty Simpson,870.0,106,3408.0,113,2135.0,97,16,12.5
DK Metcalf,1035.0,98,3449.0,108,1968.0,111,13,-8.0
David Montgomery,824.0,108,3449.0,107,2076.0,104,4,3.5
Omar Cooper Jr.,1018.0,100,3485.0,103,1853.0,118,18,-16.5
Eli Stowers,1040.0,97,3388.0,117,2019.0,108,20,-1.0
Isaiah Likely,779.0,113,3415.0,112,2135.0,98,15,14.5
Dalton Kincaid,1554.0,83,3142.0,129,1884.0,113,46,-7.0
Davante Adams,786.0,112,3431.0,110,2093.0,103,9,8.0
Wan'Dale Robinson,884.0,104,3451.0,106,1781.0,125,21,-20.0
Quentin Johnston,662.0,118,3448.0,109,2014.0,109,9,4.5
George Kittle,650.0,119,3361.0,119,2121.0,99,20,20.0
Jayden Higgins,799.0,110,3421.0,111,1813.0,120,10,-9.5
RJ Harvey,624.0,122,3371.0,118,2021.0,107,15,13.0
Jonathon Brooks,439.0,136,3511.0,101,1939.0,112,35,6.5
Mike Evans,750.0,114,3293.0,124,1874.0,114,10,5.0
Jaylen Warren,564.0,127,3348.0,120,2048.0,105,22,18.5
Michael Pittman Jr.,736.0,116,3396.0,115,1801.0,122,7,-6.5
Oronde Gadsden II,884.0,105,3342.0,122,1739.0,128,23,-14.5
Blake Corum,489.0,131,3470.0,105,1782.0,124,26,-6.0
Jayden Reed,644.0,120,3407.0,114,1736.0,129,15,-12.0
Kyle Monangai,513.0,130,3480.0,104,1692.0,131,27,-14.0
Xavier Worthy,662.0,117,3328.0,123,1743.0,127,10,-7.0
Travis Hunter,448.0,134,3345.0,121,1868.0,115,19,12.5
Courtland Sutton,741.0,115,3088.0,132,1768.0,126,17,-2.5
Jake Ferguson,597.0,125,3074.0,134,1862.0,117,17,12.5
Zach Charbonnet,454.0,133,3394.0,116,1684.0,133,17,-8.5
Chuba Hubbard,381.0,141,3175.0,126,1864.0,116,25,17.5
Jalen Coker,439.0,137,3170.0,127,1660.0,137,10,-5.0
De'Zhaun Stribling,336.0,147,3177.0,125,1680.0,134,22,2.0
Rico Dowdle,337.0,146,3098.0,131,1730.0,130,16,8.5
Brenton Strange,563.0,128,3065.0,135,1569.0,144,16,-12.5
Tua Tagovailoa,944.0,102,2597.0,176,1692.0,132,74,7.0
Jonah Coleman,303.0,149,3147.0,128,1675.0,135,21,3.5
Rhamondre Stevenson,410.0,139,3053.0,136,1620.0,139,3,-1.5
Antonio Williams,462.0,132,3028.0,137,1537.0,147,15,-12.5
Chris Godwin Jr.,553.0,129,2957.0,141,1526.0,150,21,-15.0
Michael Penix Jr.,623.0,123,2833.0,149,1536.0,148,26,-12.0
Jacory Croskey-Merritt,199.0,170,3085.0,133,1786.0,123,47,28.5
Chig Okonkwo,376.0,142,2860.0,148,1603.0,140,8,5.0
J.K. Dobbins,226.0,162,3106.0,130,1598.0,141,32,5.0
Jakobi Meyers,589.0,126,2940.0,144,1425.0,164,38,-29.0
Romeo Doubs,436.0,138,3008.0,138,1448.0,159,21,-21.0
Kenny Gainwell,271.0,158,2961.0,140,1633.0,138,20,11.0
Carson Beck,216.0,164,2805.0,154,1830.0,119,45,40.0
Shedeur Sanders,280.0,154,2655.0,164,1812.0,121,43,38.0
Khalil Shakir,402.0,140,2867.0,146,1483.0,154,14,-11.0
Mark Andrews,341.0,145,2693.0,160,1586.0,143,17,9.5
Jalen McMillan,275.0,155,2990.0,139,1433.0,162,23,-15.0
Tony Pollard,295.0,150,2757.0,156,1503.0,151,6,2.0
Chris Bell,351.0,144,2950.0,143,1354.0,172,29,-28.5
AJ Barner,272.0,156,2735.0,158,1538.0,146,12,11.0
J.J. McCarthy,354.0,143,2562.0,183,1660.0,136,47,27.0
Terrance Ferguson,206.0,166,2815.0,151,1565.0,145,21,13.5
Rashid Shaheed,280.0,153,2861.0,147,1425.0,163,16,-13.0
Nicholas Singleton,166.0,177,2957.0,142,1530.0,149,35,10.5
Ricky Pearsall,600.0,124,2541.0,187,1435.0,161,63,-5.5
Stefon Diggs,192.0,172,2827.0,150,1501.0,153,22,8.0
Dallas Goedert,303.0,148,2628.0,172,1459.0,158,24,2.0
Zachariah Branch,163.0,178,2892.0,145,1464.0,156,33,5.5
Rachaad White,235.0,161,2810.0,153,1417.0,165,12,-8.0
Tre' Harris,283.0,152,2686.0,161,1346.0,174,22,-17.5
Jordan Mason,159.0,180,2796.0,155,1479.0,155,25,12.5
Travis Kelce,210.0,165,2557.0,184,1593.0,142,42,32.5
Germie Bernard,271.0,157,2814.0,152,1194.0,190,38,-35.5
T.J. Hockenson,199.0,169,2609.0,174,1462.0,157,17,14.5
Woody Marks,187.0,175,2740.0,157,1348.0,173,18,-7.0
Jacoby Brissett,259.0,160,2537.0,188,1446.0,160,28,14.0
Tyler Allgeier,188.0,174,2702.0,159,1329.0,179,20,-12.5
Ja'Kobi Lane,92.0,205,2662.0,163,1503.0,152,53,32.0
Tyrone Tracy Jr.,160.0,179,2590.0,178,1399.0,169,10,9.5
Gunnar Helm,152.0,182,2588.0,179,1416.0,166,16,14.5
Chris Rodriguez Jr.,124.0,189,2643.0,167,1289.0,183,22,-5.0
Juwan Johnson,206.0,167,2351.0,203,1384.0,171,36,14.0
