trade_id,trade_date,player_name,sleeper_id,ktc_slug,receiving_team,giving_team,prod_value_at_trade,ktc_value_at_trade,ktc_at_trade_used_date,delta_at_trade,prod_value_current,ktc_value_current,delta_current,ktc_coverage
1296312256438497280,2025-11-18,DJ Giddens,12471,dj-giddens-1760,wkerwin,gnewman4,139.0,2012,2025-11-18,1873.0,18.0,1984,1966.0,ok
1296287239650684928,2025-11-17,Michael Wilson,10232,michael-wilson-1421,tylerpilgrim,thekylecasey,106.0,1924,2025-11-17,1818.0,955.0,3765,2810.0,ok
1296216363412516864,2025-11-17,George Kittle,4217,george-kittle-298,brevinowens,mgaeta23,1276.0,3926,2025-11-17,2650.0,650.0,3361,2711.0,ok
1295662941210697728,2025-11-16,Saquon Barkley,4866,saquon-barkley-1,jwalters74,cjsyregelas,4756.0,5492,2025-11-16,736.0,2317.0,5111,2794.0,ok
1295662941210697728,2025-11-16,James Cook,8138,james-cook-1231,cjsyregelas,jwalters74,4756.0,5899,2025-11-16,1143.0,4927.0,6185,1258.0,ok
1294350847387398144,2025-11-12,Jonathon Brooks,11583,jonathon-brooks-1568,thekylecasey,jwalters74,54.0,2232,2025-11-12,2178.0,439.0,3511,3072.0,ok
1294350847387398144,2025-11-12,Terrance Ferguson,12487,terrance-ferguson-1807,thekylecasey,jwalters74,137.0,2449,2025-11-12,2312.0,206.0,2815,2609.0,ok
1294350847387398144,2025-11-12,Luther Burden,12519,luther-burden-1770,thekylecasey,jwalters74,962.0,3676,2025-11-12,2714.0,3596.0,5559,1963.0,ok
1294350847387398144,2025-11-12,Aaron Jones,4199,aaron-jones-301,jwalters74,thekylecasey,365.0,2447,2025-11-12,2082.0,99.0,2302,2203.0,ok
1294350847387398144,2025-11-12,George Pickens,8137,george-pickens-1279,jwalters74,thekylecasey,2350.0,5316,2025-11-12,2966.0,4613.0,6154,1541.0,ok
1294198173723557888,2025-11-12,DeAndre Hopkins,1426,,tylerpilgrim,gnewman4,60.0,,,,3.0,,,no_ktc_data
1294198173723557888,2025-11-12,Chuba Hubbard,7594,chuba-hubbard-1014,gnewman4,tylerpilgrim,495.0,2773,2025-11-12,2278.0,381.0,3175,2794.0,ok
1294189559839465472,2025-11-12,Bhayshul Tuten,12490,bhayshul-tuten-1752,wkerwin,lndahayo,391.0,3073,2025-11-12,2682.0,1132.0,4429,3297.0,ok
1294189559839465472,2025-11-12,Juwan Johnson,7002,juwan-johnson-575,lndahayo,wkerwin,84.0,2306,2025-11-12,2222.0,206.0,2351,2145.0,ok
1294189559839465472,2025-11-12,DeVonta Smith,7525,devonta-smith-1005,lndahayo,wkerwin,2952.0,4834,2025-11-12,1882.0,3787.0,5505,1718.0,ok
1294076505202098176,2025-11-11,Alvin Kamara,4035,alvin-kamara-282,donewton,tylerpilgrim,621.0,2587,2025-11-11,1966.0,58.0,2092,2034.0,ok
1294076505202098176,2025-11-11,Dontayvion Wicks,9486,dontayvion-wicks-1448,tylerpilgrim,donewton,182.0,2034,2025-11-11,1852.0,67.0,2550,2483.0,ok
1294061216544587776,2025-11-11,Cooper Kupp,4039,cooper-kupp-310,gnewman4,mgaeta23,190.0,1791,2025-11-11,1601.0,21.0,1680,1659.0,ok
1294061216544587776,2025-11-11,Rico Dowdle,7021,rico-dowdle-555,gnewman4,mgaeta23,469.0,4056,2025-11-11,3587.0,337.0,3098,2761.0,ok
1294061216544587776,2025-11-11,Wan'Dale Robinson,8126,wan-dale-robinson-1274,mgaeta23,gnewman4,656.0,3111,2025-11-11,2455.0,884.0,3451,2567.0,ok
