manager,trades,prod_net_value,prod_rank,ktc_net_value,ktc_rank,rank_delta
lndahayo,17,20858.0,1,21226.8,1,0
gnewman4,20,11362.0,2,17462.3,2,0
cjsyregelas,11,7150.0,3,12980.4,6,-3
donewton,31,3359.0,4,-18874.2,12,-8
mgaeta23,13,3070.0,5,14481.7,5,0
tylerpilgrim,19,2512.0,6,3045.4,8,-2
thekylecasey,11,1876.0,7,14746.4,4,3
jakeduf,11,69.0,8,4831.5,7,1
brevinowens,4,-130.0,9,-1.0,9,0
zachlearningtogolf,28,-612.0,10,14756.4,3,7
wkerwin,12,-4342.0,11,-5630.2,10,1
jwalters74,34,-6584.0,12,-11237.7,11,1
3-team,1,-38588.0,13,-67787.8,13,0
