pick_name,slug,format,date,value
2026 Early 1st,2026-early-1st-1527,1QB,2023-09-08,5997
2026 Early 1st,2026-early-1st-1527,1QB,2023-09-09,5988
2026 Early 1st,2026-early-1st-1527,1QB,2023-09-10,5926
2026 Early 1st,2026-early-1st-1527,1QB,2023-09-11,5933
2026 Early 1st,2026-early-1st-1527,1QB,2023-09-12,5921
2026 Early 1st,2026-early-1st-1527,1QB,2023-09-13,5870
2026 Early 1st,2026-early-1st-1527,1QB,2023-09-14,5795
2026 Early 1st,2026-early-1st-1527,1QB,2023-09-15,5785
2026 Early 1st,2026-early-1st-1527,1QB,2023-09-16,5758
2026 Early 1st,2026-early-1st-1527,1QB,2023-09-17,5757
2026 Early 1st,2026-early-1st-1527,1QB,2023-09-18,5798
2026 Early 1st,2026-early-1st-1527,1QB,2023-09-19,5798
2026 Early 1st,2026-early-1st-1527,1QB,2023-09-20,5885
2026 Early 1st,2026-early-1st-1527,1QB,2023-09-21,5896
2026 Early 1st,2026-early-1st-1527,1QB,2023-09-22,5927
2026 Early 1st,2026-early-1st-1527,1QB,2023-09-23,5892
2026 Early 1st,2026-early-1st-1527,1QB,2023-09-24,5863
2026 Early 1st,2026-early-1st-1527,1QB,2023-09-25,5852
2026 Early 1st,2026-early-1st-1527,1QB,2023-09-26,5880
2026 Early 1st,2026-early-1st-1527,1QB,2023-09-27,5871
2026 Early 1st,2026-early-1st-1527,1QB,2023-09-28,5899
2026 Early 1st,2026-early-1st-1527,1QB,2023-09-29,5896
2026 Early 1st,2026-early-1st-1527,1QB,2023-09-30,5891
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-01,5899
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-02,5888
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-03,5894
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-04,5859
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-05,5782
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-06,5779
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-07,5780
2026 Early 1st,2026-early-1st-1527,1QB,2023-10-08,5788
