player,team,ktc_rank,ktc_value,dp_rank,dp_value,fc_rank,fc_value,rushing_yards,receiving_yards,receptions,carries,total_TDs,PPR_points,ktc_bfb,ktc_bfb_rank,dp_bfb,dp_bfb_rank,fc_bfb,fc_bfb_rank,points_rank
Jahmyr Gibbs,DET,1,9999.0,2,7363.0,2,10188.0,1200.5,475.5,,,16.0,263.6,26.3626,24,35.8006,30,25.8736,31,1
Bijan Robinson,ATL,2,9993.0,1,8089.0,1,10437.0,1156.5,575.5,,,12.0,245.2,24.5372,27,30.3128,31,23.4933,32,2
Christian McCaffrey,SFO,12,5366.0,11,3391.0,9,4412.0,950.5,575.0,,,13.0,230.55,42.965,3,67.9888,20,52.2552,11,3
James Cook,BUF,8,6185.0,6,4927.0,8,5037.0,1200.5,275.5,,,12.0,219.6,35.5053,7,44.5707,26,43.5974,19,4
Derrick Henry,BAL,23,4159.0,22,1172.0,19,3093.0,1250.5,159.5,,,13.0,219.0,52.6569,1,186.8601,8,70.805,3,5
Jonathan Taylor,IND,7,6294.0,9,4538.0,7,5345.0,1250.5,,,,13.0,203.05,32.2609,13,44.7444,25,37.9888,24,6
Josh Jacobs,GBP,24,4114.0,24,1020.0,22,2746.0,975.5,274.5,,,12.0,197.0,47.8853,2,193.1373,7,71.7407,1,7
Ashton Jeanty,LVR,3,7598.0,3,6609.0,3,7242.0,975.5,350.5,,,10.0,192.6,25.3488,26,29.1421,32,26.5949,30,8
Saquon Barkley,PHI,15,5111.0,15,2317.0,12,3890.0,1075.5,250.5,,,10.0,192.6,37.6834,5,83.1247,16,49.5116,14,9
De'Von Achane,MIA,6,6856.0,7,4689.0,6,5801.0,975.5,375.5,,,9.0,189.1,27.5817,21,40.3284,28,32.5978,29,10
Javonte Williams,DAL,20,4620.0,20,1602.0,20,3015.0,950.5,224.5,,,10.0,177.5,38.4199,4,110.799,13,58.8723,7,11
Chase Brown,CIN,10,5467.0,12,3175.0,11,4206.0,850.5,349.5,,,9.5,177.0,32.3761,11,55.748,22,42.0827,21,12
Kenneth Walker,KCC,9,5591.0,10,4102.0,10,4298.0,925.5,299.5,,,8.0,170.5,30.4954,18,41.5651,27,39.6696,23,13
Breece Hall,NYJ,13,5249.0,8,4602.0,13,3715.0,900.5,325.5,,,7.5,167.6,31.9299,15,36.4189,29,45.1144,17,14
Cam Skattebo,NYG,18,4845.0,18,1679.0,16,3334.0,800.5,275.5,,,8.0,155.6,32.1156,14,92.6742,15,46.6707,15,15
Kyren Williams,LAR,17,4877.0,17,1994.0,15,3363.0,950.5,,,,9.5,152.05,31.177,17,76.2538,17,45.2126,16,16
Omarion Hampton,LAC,5,7034.0,5,5438.0,5,5897.0,925.5,,,,7.5,137.55,19.555,33,25.2942,33,23.3254,33,17
Quinshon Judkins,CLE,11,5411.0,16,2263.0,14,3681.0,900.5,,,,6.5,129.05,23.8496,29,57.0261,21,35.0584,26,18
David Montgomery,HOU,29,3449.0,26,824.0,26,2131.0,825.0,,,,7.5,127.5,36.9672,6,154.733,10,59.8311,5,19
Zach Charbonnet,SEA,30,3394.0,31,454.0,34,1674.0,749.5,,,,7.5,119.95,35.3418,8,264.207,3,71.6547,2,20
D'Andre Swift,CHI,25,3750.0,25,942.0,25,2384.0,800.5,,,,6.5,119.05,31.7467,16,126.38,12,49.9371,13,21
Travis Etienne,NOS,22,4260.0,14,2361.0,23,2614.0,825.5,,,,5.5,115.55,27.1244,22,48.9411,23,44.2043,18,22
Jeremiyah Love,ARI,4,7375.0,4,5946.0,4,6761.0,825.5,,,,5.5,115.55,15.6678,34,19.4332,34,17.0907,34,23
Bucky Irving,TBB,19,4701.0,21,1558.0,21,2991.0,800.5,,,,5.5,113.05,24.0481,28,72.561,18,37.7967,25,24
Jadarian Price,SEA,16,4922.0,19,1625.0,18,3189.0,724.5,,,,6.5,111.45,22.6432,31,68.5846,19,34.9483,27,25
TreVeyon Henderson,NEP,14,5220.0,13,2423.0,17,3296.0,700.5,,,,6.5,109.05,20.8908,32,45.0062,24,33.0856,28,26
Bhayshul Tuten,JAC,21,4429.0,23,1132.0,24,2498.0,724.5,,,,5.5,105.45,23.809,30,93.1537,14,42.2138,20,27
Rico Dowdle,PIT,36,3098.0,35,337.0,31,1767.0,716.5,,,,5.0,101.65,32.8115,9,301.632,2,57.5269,9,28
J.K. Dobbins,DEN,35,3106.0,40,226.0,33,1720.0,683.5,,,,5.5,101.35,32.6304,10,448.4513,1,58.9244,6,29
Blake Corum,LAR,28,3470.0,30,489.0,32,1732.0,666.5,,,,5.5,99.65,28.7176,20,203.7832,6,57.5346,8,30
Rhamondre Stevenson,NEP,38,3053.0,33,410.0,39,1576.0,625.5,,,,6.0,98.55,32.2797,12,240.3659,5,62.5317,4,31
Chuba Hubbard,CAR,33,3175.0,34,381.0,30,1874.0,691.5,,,,4.5,96.15,30.2835,19,252.3622,4,51.3074,12,32
Kyle Monangai,CHI,27,3480.0,29,513.0,35,1673.0,650.5,,,,4.5,92.05,26.4511,23,179.4347,9,55.0209,10,33
Jaylen Warren,PIT,32,3348.0,28,564.0,27,2084.0,600.5,,,,4.5,87.05,26.0006,25,154.344,11,41.7706,22,34
